label,party,color,fontcolor,size,fontsize,dim11,dim12,dim21,dim22,dim31,dim32
schützen,Gruene,#029e00,#029e00,10,12,66.54828,56.68216,57.341957,32.474865,13.37909600107388,15.592743572139717
politik,CDUCSU,#343434,#343434,10,12,8.868478,15.790185,98.00471,95.5536,43.87455640971946,8.793072481344046
und,CDUCSU,#343434,#343434,10,12,67.22251,29.05754,58.364677,57.668316,8.33666864980311,15.86231112132629
beitrag,CDUCSU,#343434,#343434,10,12,54.38432,38.59641,68.676254,57.88358,14.954931635019756,15.696982567913798
zukunft,CDUCSU,#343434,#343434,10,12,21.164494,12.451141,96.3158,80.45519,31.863602454284045,14.771208526666193
halten,CDUCSU,#343434,#343434,10,12,61.508595,41.6529,56.812954,50.79507,12.319540207572395,15.60588077386648
leisten,CDUCSU,#343434,#343434,10,12,56.06944,41.467155,53.390736,50.316093,14.693461889361542,17.16071458298549
kind,Gruene,#029e00,#029e00,10,12,8.923727,18.0319,97.985794,95.19795,44.733440344212895,17.810177488180123
abschaffung,AFD,#21a1ff,#21a1ff,10,12,61.685734,89.51453,12.891243,45.832558,3.9709083750755094,19.789150600800077
parteienfinanzierung,AFD,#21a1ff,#21a1ff,10,12,58.43255,98.007515,0.5226781,45.45074,0.2069365773601649,21.413029869122834
gerechtigkeit,SPD,#cc0000,#cc0000,10,12,78.40945,61.97437,56.292336,23.275766,9.00205556573937,13.683071628620578
lassen,Gruene,#029e00,#029e00,10,12,59.55501,68.853485,37.72983,44.518387,9.848978381652744,18.92470768508362
grundgesetz,AFD,#21a1ff,#21a1ff,10,12,62.224293,84.48332,15.891976,45.258007,7.1839440319711425,22.535365006166657
international,FDP,#ffe800,#ffe800,10,12,30.683792,22.764364,85.87683,67.97525,23.975259512458084,12.91263291974124
künftig,CDUCSU,#343434,#343434,10,12,59.051067,32.79271,61.681175,59.876625,11.86774502930094,13.175827352595837
